path,pathmsk
data/tb5_072_645_1_16777217-128x128x64.nii.gz,data/tb5_072_645_1_16777217-128x128x64-msk.nii.gz
data/tb5_071_6418_1_16777217-128x128x64.nii.gz,data/tb5_071_6418_1_16777217-128x128x64-msk.nii.gz
data/tb1_015_13252_1_16777217-128x128x64.nii.gz,data/tb1_015_13252_1_16777217-128x128x64-msk.nii.gz
data/tb1_064_5096_1_16777217-128x128x64.nii.gz,data/tb1_064_5096_1_16777217-128x128x64-msk.nii.gz
data/tb1_047_3258_1_16777217-128x128x64.nii.gz,data/tb1_047_3258_1_16777217-128x128x64-msk.nii.gz
data/tb1_048_3281_1_16777217-128x128x64.nii.gz,data/tb1_048_3281_1_16777217-128x128x64-msk.nii.gz
data/tb1_033_2276_1_16777217-128x128x64.nii.gz,data/tb1_033_2276_1_16777217-128x128x64-msk.nii.gz
data/tb5_099_9867_2_16777217-128x128x64.nii.gz,data/tb5_099_9867_2_16777217-128x128x64-msk.nii.gz
data/tb5_060_4425_1_16777217-128x128x64.nii.gz,data/tb5_060_4425_1_16777217-128x128x64-msk.nii.gz
data/tb1_046_3218_1_16777217-128x128x64.nii.gz,data/tb1_046_3218_1_16777217-128x128x64-msk.nii.gz
data/tb5_064_560_1_16777217-128x128x64.nii.gz,data/tb5_064_560_1_16777217-128x128x64-msk.nii.gz
data/tb5_039_2979_1_16777217-128x128x64.nii.gz,data/tb5_039_2979_1_16777217-128x128x64-msk.nii.gz
data/tb1_056_4615_1_16777217-128x128x64.nii.gz,data/tb1_056_4615_1_16777217-128x128x64-msk.nii.gz
data/tb1_071_620_1_16777217-128x128x64.nii.gz,data/tb1_071_620_1_16777217-128x128x64-msk.nii.gz
data/tb5_014_12201_1_16777217-128x128x64.nii.gz,data/tb5_014_12201_1_16777217-128x128x64-msk.nii.gz
data/tb1_081_77_1_16777217-128x128x64.nii.gz,data/tb1_081_77_1_16777217-128x128x64-msk.nii.gz
data/tb5_048_3417_1_16777217-128x128x64.nii.gz,data/tb5_048_3417_1_16777217-128x128x64-msk.nii.gz
data/tb1_019_13861_1_16777217-128x128x64.nii.gz,data/tb1_019_13861_1_16777217-128x128x64-msk.nii.gz
data/tb5_100_9917_1_33554433-128x128x64.nii.gz,data/tb5_100_9917_1_33554433-128x128x64-msk.nii.gz
data/tb5_063_5016_3_16777217-128x128x64.nii.gz,data/tb5_063_5016_3_16777217-128x128x64-msk.nii.gz
data/tb1_070_6036_2_16777217-128x128x64.nii.gz,data/tb1_070_6036_2_16777217-128x128x64-msk.nii.gz
data/tb1_039_2676_4_16777217-128x128x64.nii.gz,data/tb1_039_2676_4_16777217-128x128x64-msk.nii.gz
data/tb5_085_7804_1_16777217-128x128x64.nii.gz,data/tb5_085_7804_1_16777217-128x128x64-msk.nii.gz
data/tb1_003_102_2_16777217-128x128x64.nii.gz,data/tb1_003_102_2_16777217-128x128x64-msk.nii.gz
data/tb5_055_4372_2_16777217-128x128x64.nii.gz,data/tb5_055_4372_2_16777217-128x128x64-msk.nii.gz
data/tb1_054_4272_1_16777217-128x128x64.nii.gz,data/tb1_054_4272_1_16777217-128x128x64-msk.nii.gz
data/tb5_007_11754_2_16777217-128x128x64.nii.gz,data/tb5_007_11754_2_16777217-128x128x64-msk.nii.gz
data/tb1_061_4838_1_16777217-128x128x64.nii.gz,data/tb1_061_4838_1_16777217-128x128x64-msk.nii.gz
data/tb1_051_3807_1_16777217-128x128x64.nii.gz,data/tb1_051_3807_1_16777217-128x128x64-msk.nii.gz
data/tb1_017_13562_1_16777217-128x128x64.nii.gz,data/tb1_017_13562_1_16777217-128x128x64-msk.nii.gz
data/tb1_020_1388_1_16777217-128x128x64.nii.gz,data/tb1_020_1388_1_16777217-128x128x64-msk.nii.gz
data/tb5_067_5721_1_16777217-128x128x64.nii.gz,data/tb5_067_5721_1_16777217-128x128x64-msk.nii.gz
data/tb5_005_1175_2_16777217-128x128x64.nii.gz,data/tb5_005_1175_2_16777217-128x128x64-msk.nii.gz
data/tb5_018_1481_2_16777217-128x128x64.nii.gz,data/tb5_018_1481_2_16777217-128x128x64-msk.nii.gz
data/tb5_074_67_2_16777217-128x128x64.nii.gz,data/tb5_074_67_2_16777217-128x128x64-msk.nii.gz
data/tb5_034_275_1_16777217-128x128x64.nii.gz,data/tb5_034_275_1_16777217-128x128x64-msk.nii.gz
data/tb1_066_5283_1_16777217-128x128x64.nii.gz,data/tb1_066_5283_1_16777217-128x128x64-msk.nii.gz
data/tb5_089_793_4_16777217-128x128x64.nii.gz,data/tb5_089_793_4_16777217-128x128x64-msk.nii.gz
data/tb1_084_8060_1_16777217-128x128x64.nii.gz,data/tb1_084_8060_1_16777217-128x128x64-msk.nii.gz
data/tb5_056_438_1_50331649-128x128x64.nii.gz,data/tb5_056_438_1_50331649-128x128x64-msk.nii.gz
data/tb5_020_1658_1_16777217-128x128x64.nii.gz,data/tb5_020_1658_1_16777217-128x128x64-msk.nii.gz
data/tb5_037_2873_2_16777217-128x128x64.nii.gz,data/tb5_037_2873_2_16777217-128x128x64-msk.nii.gz
data/tb1_044_294_3_16777217-128x128x64.nii.gz,data/tb1_044_294_3_16777217-128x128x64-msk.nii.gz
data/tb5_080_732_2_50331649-128x128x64.nii.gz,data/tb5_080_732_2_50331649-128x128x64-msk.nii.gz
data/tb5_065_5679_1_16777217-128x128x64.nii.gz,data/tb5_065_5679_1_16777217-128x128x64-msk.nii.gz
data/tb5_054_4372_1_16777217-128x128x64.nii.gz,data/tb5_054_4372_1_16777217-128x128x64-msk.nii.gz
data/tb1_029_2138_1_16777217-128x128x64.nii.gz,data/tb1_029_2138_1_16777217-128x128x64-msk.nii.gz
data/tb5_049_3553_2_16777217-128x128x64.nii.gz,data/tb5_049_3553_2_16777217-128x128x64-msk.nii.gz
data/tb1_022_14255_1_16777217-128x128x64.nii.gz,data/tb1_022_14255_1_16777217-128x128x64-msk.nii.gz
data/tb5_023_1658_4_16777217-128x128x64.nii.gz,data/tb5_023_1658_4_16777217-128x128x64-msk.nii.gz
data/tb1_053_4215_2_16777217-128x128x64.nii.gz,data/tb1_053_4215_2_16777217-128x128x64-msk.nii.gz
data/tb1_085_8134_1_16777217-128x128x64.nii.gz,data/tb1_085_8134_1_16777217-128x128x64-msk.nii.gz
data/tb1_050_3631_2_16777217-128x128x64.nii.gz,data/tb1_050_3631_2_16777217-128x128x64-msk.nii.gz
data/tb5_033_248_1_16777217-128x128x64.nii.gz,data/tb5_033_248_1_16777217-128x128x64-msk.nii.gz
data/tb1_037_2398_1_16777217-128x128x64.nii.gz,data/tb1_037_2398_1_16777217-128x128x64-msk.nii.gz
data/tb5_053_423_1_16777217-128x128x64.nii.gz,data/tb5_053_423_1_16777217-128x128x64-msk.nii.gz
data/tb5_087_793_1_16777217-128x128x64.nii.gz,data/tb5_087_793_1_16777217-128x128x64-msk.nii.gz
data/tb1_057_4649_3_16777217-128x128x64.nii.gz,data/tb1_057_4649_3_16777217-128x128x64-msk.nii.gz
data/tb5_022_1658_3_16777217-128x128x64.nii.gz,data/tb5_022_1658_3_16777217-128x128x64-msk.nii.gz
data/tb1_009_12297_1_16777217-128x128x64.nii.gz,data/tb1_009_12297_1_16777217-128x128x64-msk.nii.gz
data/tb1_068_580_1_16777217-128x128x64.nii.gz,data/tb1_068_580_1_16777217-128x128x64-msk.nii.gz
data/tb1_045_307_9_16777217-128x128x64.nii.gz,data/tb1_045_307_9_16777217-128x128x64-msk.nii.gz
data/tb5_030_2265_1_16777217-128x128x64.nii.gz,data/tb5_030_2265_1_16777217-128x128x64-msk.nii.gz
data/tb5_088_793_2_16777217-128x128x64.nii.gz,data/tb5_088_793_2_16777217-128x128x64-msk.nii.gz
data/tb1_090_886_1_33554433-128x128x64.nii.gz,data/tb1_090_886_1_33554433-128x128x64-msk.nii.gz
data/tb5_066_57_1_16777217-128x128x64.nii.gz,data/tb5_066_57_1_16777217-128x128x64-msk.nii.gz
data/tb5_098_9867_1_33554433-128x128x64.nii.gz,data/tb5_098_9867_1_33554433-128x128x64-msk.nii.gz
data/tb1_092_8912_4_16777217-128x128x64.nii.gz,data/tb1_092_8912_4_16777217-128x128x64-msk.nii.gz
data/tb1_067_5285_1_16777217-128x128x64.nii.gz,data/tb1_067_5285_1_16777217-128x128x64-msk.nii.gz
data/tb1_014_12996_1_16777217-128x128x64.nii.gz,data/tb1_014_12996_1_16777217-128x128x64-msk.nii.gz
data/tb1_030_2171_2_16777217-128x128x64.nii.gz,data/tb1_030_2171_2_16777217-128x128x64-msk.nii.gz
data/tb5_035_2811_1_16777217-128x128x64.nii.gz,data/tb5_035_2811_1_16777217-128x128x64-msk.nii.gz
data/tb5_032_238_1_16777217-128x128x64.nii.gz,data/tb5_032_238_1_16777217-128x128x64-msk.nii.gz
data/tb5_012_12050_2_16777217-128x128x64.nii.gz,data/tb5_012_12050_2_16777217-128x128x64-msk.nii.gz
data/tb1_062_4982_1_16777217-128x128x64.nii.gz,data/tb1_062_4982_1_16777217-128x128x64-msk.nii.gz
data/tb5_076_699_1_16777217-128x128x64.nii.gz,data/tb5_076_699_1_16777217-128x128x64-msk.nii.gz
data/tb1_072_6409_1_16777217-128x128x64.nii.gz,data/tb1_072_6409_1_16777217-128x128x64-msk.nii.gz
data/tb1_052_4138_1_16777217-128x128x64.nii.gz,data/tb1_052_4138_1_16777217-128x128x64-msk.nii.gz
data/tb5_050_368_1_16777217-128x128x64.nii.gz,data/tb5_050_368_1_16777217-128x128x64-msk.nii.gz
data/tb1_086_8325_1_16777217-128x128x64.nii.gz,data/tb1_086_8325_1_16777217-128x128x64-msk.nii.gz
data/tb5_059_4408_1_16777217-128x128x64.nii.gz,data/tb5_059_4408_1_16777217-128x128x64-msk.nii.gz
data/tb5_042_3114_1_16777217-128x128x64.nii.gz,data/tb5_042_3114_1_16777217-128x128x64-msk.nii.gz
data/tb5_097_9246_1_16777217-128x128x64.nii.gz,data/tb5_097_9246_1_16777217-128x128x64-msk.nii.gz
data/tb1_094_9283_1_16777217-128x128x64.nii.gz,data/tb1_094_9283_1_16777217-128x128x64-msk.nii.gz
data/tb5_045_3273_1_16777217-128x128x64.nii.gz,data/tb5_045_3273_1_16777217-128x128x64-msk.nii.gz
data/tb1_038_2522_1_16777217-128x128x64.nii.gz,data/tb1_038_2522_1_16777217-128x128x64-msk.nii.gz
